cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70
n164,0,2,6,7,6,4,0,1,5,0,6,10,1,3,1,0,8,5,9,6,5,6,0,1,6,2,4,6,7,7,4,0,3,0,1,7,8,0,3,9,6,10,3,4,1,0,8,2,2,0,7,7,6,2,0,3,0,0,8,1,1,1,1,6,5,2,0,1,10,0
n163,0,2,6,7,6,4,0,1,5,4,6,0,1,3,1,0,8,5,9,6,5,6,0,1,6,2,4,6,7,7,4,0,3,0,1,7,8,0,3,9,6,10,3,4,1,8,8,0,2,0,7,7,6,2,0,0,0,0,8,1,1,1,1,6,5,2,0,1,10,0
n172,9,0,6,0,6,4,4,1,5,1,6,0,1,0,1,9,5,8,9,6,4,6,10,1,6,2,4,6,7,7,4,3,0,10,1,7,3,6,3,9,6,10,3,4,1,9,8,0,0,0,7,7,6,2,0,0,0,4,9,1,1,1,1,6,5,2,2,0,4,2
n171,0,0,6,0,6,4,4,1,5,1,6,0,1,0,1,9,5,8,9,6,4,6,0,1,6,2,4,6,7,7,4,3,4,10,1,7,3,6,3,9,6,10,3,4,1,9,8,0,0,0,7,7,6,2,0,0,0,4,9,1,1,1,1,6,5,2,0,0,4,2
n174,3,0,6,5,6,4,0,1,5,1,6,9,1,0,1,9,5,8,9,6,4,6,10,1,6,2,4,6,7,7,4,5,0,10,1,7,3,6,3,9,6,10,3,4,1,9,8,0,0,0,7,7,6,2,0,0,4,0,0,1,1,1,1,6,5,2,6,0,0,2
n173,3,5,6,0,6,4,0,1,5,1,6,9,1,7,1,9,5,8,9,6,4,6,0,1,6,2,4,6,7,7,4,9,0,10,1,7,3,6,3,9,6,10,3,4,1,9,8,0,0,2,7,7,6,2,0,0,4,9,0,1,1,1,1,6,5,2,6,0,0,2
n178,0,1,6,5,6,4,1,1,5,1,6,0,1,10,1,9,5,8,9,6,0,6,0,1,6,2,4,6,7,7,4,6,0,10,1,7,3,6,3,9,6,10,3,4,1,0,8,5,0,0,7,7,6,2,0,0,2,1,0,1,1,1,1,6,5,2,5,3,0,2
n177,0,1,6,5,6,4,0,1,5,1,6,0,1,10,1,9,5,8,9,6,0,6,0,1,6,2,4,6,7,7,4,9,0,10,1,7,3,6,3,9,6,10,3,4,1,0,8,0,0,7,7,7,6,2,0,0,0,1,0,1,1,1,1,6,5,2,5,3,0,2
n180,0,1,6,5,6,4,0,1,5,1,6,0,1,0,1,9,5,8,9,6,10,6,0,1,6,2,4,6,7,7,4,1,7,10,1,7,3,6,3,9,6,10,3,4,1,5,8,9,3,0,7,7,6,2,0,0,5,1,0,1,1,1,1,6,5,2,5,0,0,2
n179,0,1,6,5,6,4,0,1,5,1,6,0,1,3,1,9,5,8,9,6,0,6,0,1,6,2,4,6,7,7,4,0,7,10,1,7,3,6,3,9,6,10,3,4,1,0,8,0,0,0,7,7,6,2,0,2,0,1,0,1,1,1,1,6,5,2,5,0,0,2
